iter	Passed	Remaining
655	1273	668
656	1276	666
657	1277	664
658	1280	662
659	1282	660
660	1284	658
661	1285	656
662	1287	654
663	1288	652
664	1290	650
665	1292	648
666	1294	646
667	1296	644
668	1297	642
669	1299	640
670	1301	637
671	1302	635
672	1304	633
673	1306	632
674	1309	630
675	1311	628
676	1313	626
677	1315	624
678	1317	622
679	1318	620
680	1320	618
681	1322	616
682	1323	614
683	1325	612
684	1327	610
685	1329	608
686	1331	606
687	1332	604
688	1334	602
689	1335	600
690	1337	598
691	1339	596
692	1341	594
693	1344	592
694	1346	591
695	1348	588
696	1350	586
697	1351	584
698	1353	582
699	1355	580
700	1357	579
701	1360	577
702	1362	575
703	1364	573
704	1366	571
705	1367	569
706	1369	567
707	1371	565
708	1373	563
709	1375	561
710	1378	560
711	1380	558
712	1381	556
713	1383	554
714	1385	552
715	1386	550
716	1388	548
717	1390	546
718	1391	543
719	1393	541
720	1395	539
721	1396	537
722	1398	535
723	1400	533
724	1402	531
725	1403	529
726	1405	527
727	1407	525
728	1410	524
729	1412	522
730	1413	520
731	1415	518
732	1417	516
733	1418	514
734	1420	512
735	1422	510
736	1423	508
737	1425	506
738	1427	503
739	1428	501
740	1430	499
741	1432	497
742	1433	495
743	1435	493
744	1436	491
745	1438	489
746	1440	488
747	1443	486
748	1445	484
749	1447	482
750	1449	480
751	1450	478
752	1452	476
753	1454	474
754	1455	472
755	1457	470
756	1458	468
757	1460	466
758	1462	464
759	1463	462
760	1465	460
761	1467	458
762	1468	456
763	1470	454
764	1472	452
765	1474	450
766	1477	448
767	1479	446
768	1480	444
769	1482	442
770	1484	440
771	1485	438
772	1487	436
773	1489	434
774	1490	432
775	1493	431
776	1495	429
777	1496	427
778	1498	425
779	1499	423
780	1501	421
781	1503	419
782	1505	417
783	1507	415
784	1509	413
785	1512	411
786	1513	409
787	1515	407
788	1516	405
789	1518	403
790	1520	401
791	1521	399
792	1523	397
793	1525	395
794	1527	393
795	1528	391
796	1530	389
797	1531	387
798	1533	385
799	1535	383
800	1536	381
801	1539	379
802	1540	378
803	1542	376
804	1544	374
805	1547	372
806	1548	370
807	1550	368
808	1552	366
809	1553	364
810	1555	362
811	1557	360
812	1558	358
813	1560	356
814	1562	354
815	1563	352
816	1565	350
817	1567	348
818	1568	346
819	1570	344
820	1572	342
821	1574	340
822	1575	338
823	1577	337
824	1580	335
825	1582	333
826	1583	331
827	1585	329
828	1587	327
829	1589	325
830	1591	323
831	1592	321
832	1594	319
833	1596	317
834	1597	315
835	1599	313
836	1601	311
837	1603	309
838	1604	307
839	1606	306
840	1608	304
841	1610	302
842	1612	300
843	1614	298
844	1616	296
845	1618	294
846	1620	292
847	1621	290
848	1623	288
849	1624	286
850	1626	284
851	1628	282
852	1630	281
853	1632	279
854	1634	277
855	1636	275
856	1637	273
857	1639	271
858	1641	269
859	1642	267
860	1645	265
861	1647	263
862	1649	261
863	1651	259
864	1652	257
865	1654	256
866	1656	254
867	1657	252
868	1659	250
869	1661	248
870	1662	246
871	1664	244
872	1666	242
873	1668	240
874	1670	238
875	1671	236
876	1673	234
877	1675	232
878	1676	230
879	1678	228
880	1681	227
881	1683	225
882	1684	223
883	1686	221
884	1688	219
885	1690	217
886	1691	215
887	1693	213
888	1694	211
889	1696	209
890	1698	207
891	1700	205
892	1702	203
893	1704	202
894	1705	200
895	1707	198
896	1709	196
897	1710	194
898	1712	192
899	1715	190
900	1717	188
901	1718	186
902	1720	184
903	1722	182
904	1723	180
905	1725	179
906	1727	177
907	1728	175
908	1730	173
909	1732	171
910	1734	169
911	1736	167
912	1737	165
913	1739	163
914	1741	161
915	1742	159
916	1744	157
917	1746	155
918	1748	154
919	1750	152
920	1752	150
921	1754	148
922	1755	146
923	1757	144
924	1759	142
925	1760	140
926	1762	138
927	1765	136
928	1766	135
929	1768	133
930	1769	131
931	1771	129
932	1773	127
933	1774	125
934	1776	123
935	1778	121
936	1780	119
937	1782	117
938	1784	115
939	1786	114
940	1788	112
941	1789	110
942	1791	108
943	1793	106
944	1795	104
945	1797	102
946	1799	100
947	1800	98
948	1802	96
949	1804	94
950	1805	93
951	1807	91
952	1808	89
953	1810	87
954	1812	85
955	1814	83
956	1816	81
957	1818	79
958	1820	77
959	1822	75
960	1824	74
961	1825	72
962	1827	70
963	1829	68
964	1831	66
965	1832	64
966	1834	62
967	1836	60
968	1837	58
969	1839	56
970	1841	54
971	1842	53
972	1844	51
973	1846	49
974	1848	47
975	1850	45
976	1852	43
977	1854	41
978	1855	39
979	1857	37
980	1859	36
981	1861	34
982	1863	32
983	1864	30
984	1866	28
985	1868	26
986	1869	24
987	1871	22
988	1873	20
989	1874	18
990	1876	17
991	1878	15
992	1879	13
993	1881	11
994	1883	9
995	1886	7
996	1888	5
997	1890	3
998	1893	1
999	1894	0
